"graphDescription","nbSolutions","singleSolution","nbSolutionClasses","singleSolutionClass"
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=83",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=84",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=85",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=86",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=87",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=88",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=89",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=90",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=91",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=92",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=93",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=94",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=95",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=96",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=97",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=98",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=99",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.05,prop.neg=0.533333333333333,network.no=100",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=1",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=2",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=3",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=4",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=5",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=6",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=7",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=8",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=9",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=10",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=11",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=12",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=13",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=14",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=15",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=16",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=17",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=18",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=19",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=20",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.1,prop.neg=0.533333333333333,network.no=21",1,1,1,1
