"graphDescription","nbSolutions","singleSolution","nbSolutionClasses","singleSolutionClass"
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=39",13,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=40",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=41",3,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=42",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=43",20,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=44",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=45",14,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=46",7,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=47",14,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=48",2,0,2,0
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=49",9,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=50",3,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=51",161,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=52",5,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=53",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=54",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=55",40,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=56",18,0,2,0
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=57",34,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=58",4,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=59",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=60",67,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=61",28,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=62",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=63",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=64",7,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=65",16,0,5,0
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=66",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=67",13,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=68",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=69",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=70",361,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=71",35,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=72",7,0,2,0
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=73",11,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=74",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=75",5,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=76",40,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=77",75,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=78",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=79",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=80",7,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=81",34,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=82",10,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=83",43,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=84",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=85",18,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=86",20,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=87",17,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=88",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=89",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=90",10,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=91",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=92",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=93",24,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=94",31,0,3,0
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=95",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=96",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=97",19,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=98",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=99",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.8,prop.neg=0.533333333333333,network.no=100",4,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=1",29,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=2",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=3",6,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=4",125,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=5",41,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=6",38,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=7",32,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=8",7,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=9",112,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=10",10,0,3,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=11",3,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=12",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=13",36,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=14",7,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=15",15,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=16",29,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=17",68,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=18",9,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=19",3,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=20",22,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=21",211,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=22",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=23",14,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=24",35,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=25",55,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=26",56,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=27",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=28",143,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=29",27,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=30",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=31",9,0,3,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=32",18,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=33",13,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=34",48,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=35",75,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=36",22,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=37",15,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=38",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=39",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=40",70,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=41",180,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=42",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=43",164,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=44",10,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=45",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=46",46,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=47",62,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=48",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=49",4,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=50",4,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=51",2948,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=52",145,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=53",9,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=54",25,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=55",286,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=56",33,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=57",25,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=58",3,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=59",390,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=60",18,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=61",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=62",4,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=63",13,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=64",5,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=65",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=66",14,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=67",6,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=68",34,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=69",14,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=70",457,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=71",87,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=72",72,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=73",10,0,3,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=74",17,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=75",55,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=76",90,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=77",21,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=78",69,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=79",1,1,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=80",50,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=81",59,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=82",61,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=83",67,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=84",136,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=85",11,0,2,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=86",10,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=87",167,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=88",43,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=89",8,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=90",57,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=91",46,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=92",82,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=93",18,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=94",41,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=95",25,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=96",22,0,3,0
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=97",2,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=98",35,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=99",5,0,1,1
"n=16,k=2,d=1,prop.mispl=0.85,prop.neg=0.533333333333333,network.no=100",3,0,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=1",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=2",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=3",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=4",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=5",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=6",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=7",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=8",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=9",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=10",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=11",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=12",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=13",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=14",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=15",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=16",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=17",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=18",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=19",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=20",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=21",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=22",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=23",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=24",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=25",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=26",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=27",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=28",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=29",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=30",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=31",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=32",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=33",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=34",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=35",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=36",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=37",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=38",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=39",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=40",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=41",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=42",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=43",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=44",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=45",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=46",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=47",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=48",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=49",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=50",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=51",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=52",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=53",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=54",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=55",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=56",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=57",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=58",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=59",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=60",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=61",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=62",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=63",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=64",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=65",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=66",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=67",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=68",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=69",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=70",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=71",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=72",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=73",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=74",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=75",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=76",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=77",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=78",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=79",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=80",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=81",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=82",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=83",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=84",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=85",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=86",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=87",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=88",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=89",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=90",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=91",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=92",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=93",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=94",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=95",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=96",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=97",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=98",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=99",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.05,prop.neg=0.526315789473684,network.no=100",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=1",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=2",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=3",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=4",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=5",1,1,1,1
"n=20,k=2,d=1,prop.mispl=0.1,prop.neg=0.526315789473684,network.no=6",1,1,1,1
